Time,NodeId,NodeType,Throughput_Mbps,Latency_ms,PacketLoss_Rate,Jitter_ms,SignalStrength_dBm,CPU_Usage,Memory_Usage,Buffer_Occupancy,Active_Links,Neighbor_Count,Link_Utilization,Critical_Load,Normal_Load,Energy_Level,X_Position,Y_Position,Z_Position,Operational_Status,Voltage_Level,Power_Stability,Degradation_Level,Fault_Severity,Time_Of_Day_Factor,Traffic_Pattern_Factor,Seasonal_Factor
2.000,26,access,18.740,78.921,0.019,5.700,-83.000,25.801,67.000,59.000,1,1,59.200,39.000,59.000,99.867,-150.000,-90.000,0.000,1,219.900,0.953,0.000,0.000,0.600,0.800,1.000
2.000,27,access,10.951,57.287,0.016,4.000,-66.000,36.602,51.000,34.000,1,1,50.400,27.000,42.000,99.867,-90.000,-90.000,0.000,1,224.800,0.959,0.000,0.000,0.600,0.800,1.000
2.000,28,access,8.701,57.799,0.024,8.200,-69.000,25.801,58.000,73.000,1,1,33.600,29.000,65.000,99.867,-30.000,-90.000,0.000,1,214.400,0.954,0.000,0.000,0.600,0.800,1.000
2.000,29,access,11.060,38.772,0.025,5.900,-79.000,18.001,47.000,42.000,1,1,53.600,22.000,49.000,99.867,30.000,-90.000,0.000,1,224.500,0.957,0.000,0.000,0.600,0.800,1.000
2.000,30,access,11.267,59.006,0.027,5.100,-72.000,30.601,42.000,45.000,1,1,58.400,39.000,41.000,99.867,90.000,-90.000,0.000,1,219.200,0.953,0.000,0.000,0.600,0.800,1.000
2.000,31,access,4.589,46.892,0.012,4.500,-79.000,39.602,73.000,46.000,1,1,62.400,34.000,76.000,99.867,150.000,-90.000,0.000,1,216.700,0.959,0.000,0.000,0.600,0.800,1.000
2.000,32,access,7.850,53.561,0.011,4.900,-84.000,20.401,43.000,37.000,1,1,50.400,24.000,77.000,99.867,-150.000,-30.000,0.000,1,210.200,0.950,0.000,0.000,0.600,0.800,1.000
2.000,33,access,19.208,49.097,0.026,3.500,-65.000,31.202,51.000,55.000,1,1,39.200,39.000,41.000,99.867,-90.000,-30.000,0.000,1,217.600,0.959,0.000,0.000,0.600,0.800,1.000
2.000,34,access,9.437,53.927,0.013,8.000,-87.000,27.601,78.000,32.000,1,1,24.000,26.000,44.000,99.867,-30.000,-30.000,0.000,1,222.100,0.951,0.000,0.000,0.600,0.800,1.000
2.000,35,access,8.683,67.409,0.024,6.000,-82.000,41.402,77.000,23.000,1,1,62.400,30.000,59.000,99.867,30.000,-30.000,0.000,1,217.600,0.955,0.000,0.000,0.600,0.800,1.000
2.000,36,access,13.226,38.102,0.014,5.700,-88.000,33.002,55.000,40.000,1,1,40.800,22.000,66.000,99.867,90.000,-30.000,0.000,1,221.000,0.956,0.000,0.000,0.600,0.800,1.000
2.000,37,access,12.343,67.378,0.015,8.700,-71.000,37.802,43.000,21.000,1,1,44.000,12.000,56.000,99.867,150.000,-30.000,0.000,1,221.900,0.956,0.000,0.000,0.600,0.800,1.000
2.000,38,access,12.980,56.167,0.017,6.000,-79.000,24.001,50.000,32.000,1,1,49.600,36.000,79.000,99.867,-150.000,30.000,0.000,1,224.000,0.953,0.000,0.000,0.600,0.800,1.000
2.000,39,access,11.509,77.612,0.017,5.300,-66.000,42.002,64.000,61.000,1,1,50.400,10.000,52.000,99.867,-90.000,30.000,0.000,1,210.500,0.957,0.000,0.000,0.600,0.800,1.000
2.000,40,access,17.860,53.997,0.025,4.800,-64.000,31.802,51.000,49.000,1,1,24.800,30.000,59.000,99.867,-30.000,30.000,0.000,1,214.100,0.953,0.000,0.000,0.600,0.800,1.000
2.000,41,access,5.628,65.771,0.029,6.500,-74.000,36.602,41.000,59.000,1,1,48.800,23.000,48.000,99.867,30.000,30.000,0.000,1,221.400,0.957,0.000,0.000,0.600,0.800,1.000
2.000,42,access,16.411,69.114,0.013,9.100,-63.000,40.802,68.000,74.000,1,1,40.000,30.000,58.000,99.867,90.000,30.000,0.000,1,217.700,0.957,0.000,0.000,0.600,0.800,1.000
2.000,43,access,6.340,85.015,0.025,9.800,-82.000,27.601,58.000,65.000,1,1,41.600,38.000,53.000,99.867,150.000,30.000,0.000,1,220.300,0.955,0.000,0.000,0.600,0.800,1.000
2.000,44,access,8.169,76.367,0.026,9.700,-77.000,18.001,73.000,77.000,1,1,49.600,33.000,75.000,99.867,-150.000,90.000,0.000,1,216.300,0.952,0.000,0.000,0.600,0.800,1.000
2.000,45,access,18.908,56.291,0.011,6.900,-75.000,38.402,68.000,77.000,1,1,34.400,33.000,75.000,99.867,-90.000,90.000,0.000,1,215.900,0.954,0.000,0.000,0.600,0.800,1.000
2.000,46,access,7.380,45.471,0.010,7.200,-89.000,25.801,79.000,74.000,1,1,36.800,24.000,65.000,99.867,-30.000,90.000,0.000,1,227.100,0.958,0.000,0.000,0.600,0.800,1.000
2.000,47,access,14.775,71.184,0.022,9.100,-72.000,23.401,46.000,75.000,1,1,60.000,13.000,68.000,99.867,30.000,90.000,0.000,1,225.800,0.959,0.000,0.000,0.600,0.800,1.000
2.000,48,access,17.108,54.319,0.012,7.000,-70.000,22.801,77.000,76.000,1,1,44.000,12.000,64.000,99.867,90.000,90.000,0.000,1,216.100,0.959,0.000,0.000,0.600,0.800,1.000
2.000,49,access,13.226,73.687,0.024,6.500,-88.000,19.801,62.000,63.000,1,1,52.800,22.000,72.000,99.867,150.000,90.000,0.000,1,228.500,0.954,0.000,0.000,0.600,0.800,1.000
4.000,0,core,369.434,8.584,0.002,1.600,-72.000,38.404,69.000,20.000,4,4,24.800,14.000,64.000,99.733,0.000,0.000,0.000,1,210.000,0.959,0.000,0.000,0.600,0.800,1.000
4.000,1,core,349.848,11.692,0.001,1.800,-89.000,39.604,58.000,30.000,4,4,46.400,16.000,57.000,99.733,100.000,0.000,0.000,1,225.900,0.950,0.000,0.000,0.600,0.800,1.000
4.000,2,core,408.457,6.671,0.002,4.500,-71.000,21.002,40.000,44.000,4,4,39.200,26.000,47.000,99.733,-100.000,0.000,0.000,1,214.500,0.953,0.000,0.000,0.600,0.800,1.000
4.000,3,core,395.573,15.091,0.002,1.100,-88.000,19.202,68.000,46.000,4,4,62.400,25.000,73.000,99.733,0.000,100.000,0.000,1,219.600,0.954,0.000,0.000,0.600,0.800,1.000
4.000,4,core,390.338,15.993,0.002,5.200,-77.000,22.802,53.000,39.000,4,4,29.600,22.000,55.000,99.733,0.000,-100.000,0.000,1,209.900,0.958,0.000,0.000,0.600,0.800,1.000
4.000,5,distribution,32.088,20.159,0.011,1.500,-76.000,45.604,43.000,44.000,3,3,24.800,37.000,61.000,99.733,150.000,0.000,0.000,1,212.300,0.956,0.000,0.000,0.600,0.800,1.000
4.000,6,distribution,35.704,32.523,0.005,5.400,-61.000,21.602,47.000,68.000,3,3,46.400,32.000,71.000,99.733,137.032,61.010,0.000,1,221.400,0.950,0.000,0.000,0.600,0.800,1.000
4.000,7,distribution,30.455,28.783,0.009,4.000,-77.000,22.202,49.000,51.000,3,3,59.200,30.000,64.000,99.733,100.370,111.472,0.000,1,211.200,0.952,0.000,0.000,0.600,0.800,1.000
4.000,8,distribution,22.259,45.921,0.005,4.300,-74.000,33.003,42.000,45.000,3,3,55.200,13.000,48.000,99.733,46.353,142.658,0.000,1,217.800,0.956,0.000,0.000,0.600,0.800,1.000
4.000,9,distribution,25.611,36.363,0.010,6.500,-66.000,25.202,75.000,73.000,3,3,57.600,30.000,70.000,99.733,-15.679,149.178,0.000,1,219.300,0.953,0.000,0.000,0.600,0.800,1.000
4.000,10,distribution,33.738,34.640,0.011,3.400,-74.000,32.403,58.000,54.000,3,3,31.200,18.000,64.000,99.733,-75.000,129.904,0.000,1,227.400,0.952,0.000,0.000,0.600,0.800,1.000
4.000,11,distribution,25.834,45.228,0.005,4.300,-63.000,28.803,79.000,65.000,3,3,40.000,11.000,57.000,99.733,-121.353,88.168,0.000,1,229.300,0.953,0.000,0.000,0.600,0.800,1.000
4.000,12,distribution,25.711,28.634,0.012,5.100,-79.000,41.404,77.000,49.000,3,3,61.600,13.000,75.000,99.733,-146.722,31.187,0.000,1,224.600,0.959,0.000,0.000,0.600,0.800,1.000
4.000,13,distribution,36.976,26.360,0.006,2.900,-64.000,43.204,72.000,47.000,3,3,60.800,21.000,58.000,99.733,-146.722,-31.187,0.000,1,223.600,0.953,0.000,0.000,0.600,0.800,1.000
4.000,14,distribution,19.878,33.844,0.011,4.500,-85.000,37.804,58.000,42.000,3,3,53.600,23.000,75.000,99.733,-121.353,-88.168,0.000,1,223.900,0.954,0.000,0.000,0.600,0.800,1.000
4.000,15,distribution,37.257,20.474,0.005,5.500,-65.000,40.804,63.000,31.000,3,3,25.600,32.000,69.000,99.733,-75.000,-129.904,0.000,1,210.900,0.956,0.000,0.000,0.600,0.800,1.000
4.000,16,distribution,36.885,25.703,0.006,2.800,-75.000,42.604,69.000,54.000,3,3,59.200,26.000,68.000,99.733,-15.679,-149.178,0.000,1,212.300,0.950,0.000,0.000,0.600,0.800,1.000
4.000,17,distribution,19.899,23.442,0.014,2.700,-78.000,43.204,50.000,22.000,3,3,51.200,29.000,48.000,99.733,46.353,-142.658,0.000,1,218.100,0.958,0.000,0.000,0.600,0.800,1.000
4.000,18,distribution,20.742,29.105,0.013,2.100,-67.000,20.402,42.000,24.000,3,3,32.000,32.000,57.000,99.733,100.370,-111.472,0.000,1,225.600,0.953,0.000,0.000,0.600,0.800,1.000
4.000,19,distribution,22.877,37.054,0.014,6.600,-76.000,41.404,64.000,62.000,3,3,24.000,22.000,43.000,99.733,137.032,-61.010,0.000,1,214.400,0.959,0.000,0.000,0.600,0.800,1.000
4.000,20,access,5.524,54.794,0.026,3.800,-73.000,27.003,59.000,65.000,1,1,39.200,17.000,69.000,99.733,-150.000,-150.000,0.000,1,227.000,0.953,0.000,0.000,0.600,0.800,1.000
4.000,21,access,10.540,36.180,0.010,3.600,-73.000,21.602,69.000,24.000,1,1,46.400,14.000,50.000,99.733,-90.000,-150.000,0.000,1,211.900,0.950,0.000,0.000,0.600,0.800,1.000
4.000,22,access,17.841,72.797,0.014,7.200,-69.000,29.403,73.000,49.000,1,1,62.400,34.000,50.000,99.733,-30.000,-150.000,0.000,1,222.000,0.957,0.000,0.000,0.600,0.800,1.000
4.000,23,access,9.559,66.707,0.019,7.000,-88.000,34.203,66.000,28.000,1,1,27.200,18.000,49.000,99.733,30.000,-150.000,0.000,1,221.200,0.958,0.000,0.000,0.600,0.800,1.000
4.000,24,access,9.851,72.142,0.021,8.200,-60.000,30.603,64.000,28.000,1,1,44.800,26.000,56.000,99.733,90.000,-150.000,0.000,1,219.200,0.956,0.000,0.000,0.600,0.800,1.000
4.000,25,access,13.939,60.326,0.029,8.200,-74.000,31.803,47.000,58.000,1,1,49.600,38.000,48.000,99.733,150.000,-150.000,0.000,1,215.500,0.955,0.000,0.000,0.600,0.800,1.000
4.000,26,access,6.963,46.551,0.021,5.400,-84.000,21.602,60.000,22.000,1,1,58.400,29.000,58.000,99.733,-150.000,-90.000,0.000,1,222.100,0.952,0.000,0.000,0.600,0.800,1.000
4.000,27,access,19.171,38.101,0.012,5.700,-79.000,22.802,68.000,61.000,1,1,60.800,18.000,40.000,99.733,-90.000,-90.000,0.000,1,215.900,0.958,0.000,0.000,0.600,0.800,1.000
4.000,28,access,11.682,75.199,0.029,5.200,-65.000,38.404,57.000,40.000,1,1,52.000,27.000,66.000,99.733,-30.000,-90.000,0.000,1,226.000,0.954,0.000,0.000,0.600,0.800,1.000
4.000,29,access,15.984,36.022,0.023,5.700,-60.000,28.803,56.000,26.000,1,1,63.200,37.000,61.000,99.733,30.000,-90.000,0.000,1,212.200,0.958,0.000,0.000,0.600,0.800,1.000
4.000,30,access,5.164,36.816,0.013,2.700,-82.000,39.604,70.000,37.000,1,1,58.400,37.000,61.000,99.733,90.000,-90.000,0.000,1,225.200,0.957,0.000,0.000,0.600,0.800,1.000
4.000,31,access,16.452,58.211,0.029,8.300,-76.000,23.402,57.000,75.000,1,1,60.800,20.000,55.000,99.733,150.000,-90.000,0.000,1,216.100,0.953,0.000,0.000,0.600,0.800,1.000
4.000,32,access,7.596,38.571,0.022,3.800,-60.000,44.404,43.000,46.000,1,1,34.400,17.000,74.000,99.733,-150.000,-30.000,0.000,1,223.700,0.953,0.000,0.000,0.600,0.800,1.000
4.000,33,access,14.075,67.600,0.028,4.800,-64.000,25.803,52.000,22.000,1,1,59.200,27.000,44.000,99.733,-90.000,-30.000,0.000,1,211.600,0.954,0.000,0.000,0.600,0.800,1.000
4.000,34,access,7.389,59.114,0.017,8.300,-86.000,23.402,45.000,51.000,1,1,44.800,10.000,42.000,99.733,-30.000,-30.000,0.000,1,219.700,0.954,0.000,0.000,0.600,0.800,1.000
4.000,35,access,12.935,51.070,0.016,3.800,-67.000,19.202,73.000,31.000,1,1,56.000,17.000,64.000,99.733,30.000,-30.000,0.000,1,210.600,0.950,0.000,0.000,0.600,0.800,1.000
4.000,36,access,13.294,38.857,0.023,3.700,-83.000,32.403,44.000,42.000,1,1,27.200,36.000,54.000,99.733,90.000,-30.000,0.000,1,223.900,0.957,0.000,0.000,0.600,0.800,1.000
4.000,37,access,5.473,40.864,0.027,7.000,-64.000,36.003,55.000,26.000,1,1,56.000,10.000,74.000,99.733,150.000,-30.000,0.000,1,211.700,0.957,0.000,0.000,0.600,0.800,1.000
4.000,38,access,4.954,44.997,0.026,5.300,-83.000,33.003,74.000,68.000,1,1,24.800,20.000,67.000,99.733,-150.000,30.000,0.000,1,229.400,0.959,0.000,0.000,0.600,0.800,1.000
4.000,39,access,9.294,36.853,0.013,4.700,-87.000,38.404,76.000,69.000,1,1,60.800,10.000,69.000,99.733,-90.000,30.000,0.000,1,215.600,0.956,0.000,0.000,0.600,0.800,1.000
4.000,40,access,8.373,52.240,0.020,7.800,-73.000,41.404,44.000,26.000,1,1,25.600,13.000,48.000,99.733,-30.000,30.000,0.000,1,228.200,0.955,0.000,0.000,0.600,0.800,1.000
4.000,41,access,13.681,42.872,0.016,6.200,-81.000,43.204,74.000,37.000,1,1,44.000,35.000,78.000,99.733,30.000,30.000,0.000,1,227.200,0.954,0.000,0.000,0.600,0.800,1.000
4.000,42,access,6.203,36.891,0.027,4.700,-60.000,22.202,58.000,62.000,1,1,32.000,17.000,71.000,99.733,90.000,30.000,0.000,1,228.600,0.953,0.000,0.000,0.600,0.800,1.000
4.000,43,access,15.417,60.503,0.028,5.200,-80.000,30.603,70.000,27.000,1,1,47.200,30.000,47.000,99.733,150.000,30.000,0.000,1,217.800,0.957,0.000,0.000,0.600,0.800,1.000
4.000,44,access,11.417,51.557,0.014,7.600,-76.000,23.402,69.000,67.000,1,1,30.400,20.000,51.000,99.733,-150.000,90.000,0.000,1,219.000,0.958,0.000,0.000,0.600,0.800,1.000
4.000,45,access,17.786,40.801,0.013,2.900,-62.000,40.804,63.000,41.000,1,1,38.400,12.000,47.000,99.733,-90.000,90.000,0.000,1,227.700,0.955,0.000,0.000,0.600,0.800,1.000
4.000,46,access,12.756,49.239,0.021,6.600,-76.000,40.204,57.000,34.000,1,1,63.200,20.000,50.000,99.733,-30.000,90.000,0.000,1,226.600,0.958,0.000,0.000,0.600,0.800,1.000
4.000,47,access,17.368,63.429,0.020,6.700,-82.000,19.802,53.000,42.000,1,1,61.600,32.000,54.000,99.733,30.000,90.000,0.000,1,223.600,0.958,0.000,0.000,0.600,0.800,1.000
4.000,48,access,7.796,84.932,0.010,8.800,-73.000,45.004,62.000,34.000,1,1,53.600,24.000,67.000,99.733,90.000,90.000,0.000,1,214.000,0.958,0.000,0.000,0.600,0.800,1.000
4.000,49,access,12.585,42.747,0.019,6.100,-82.000,19.802,78.000,30.000,1,1,28.000,12.000,45.000,99.733,150.000,90.000,0.000,1,226.600,0.950,0.000,0.000,0.600,0.800,1.000
6.000,0,core,385.057,14.922,0.002,3.100,-81.000,37.205,65.000,56.000,4,4,44.000,18.000,78.000,99.600,0.000,0.000,0.000,1,224.800,0.952,0.000,0.000,0.600,0.800,1.000
6.000,1,core,364.148,15.976,0.001,1.200,-71.000,40.806,77.000,55.000,4,4,34.400,30.000,46.000,99.600,100.000,0.000,0.000,1,211.300,0.951,0.000,0.000,0.600,0.800,1.000
6.000,2,core,396.185,17.835,0.002,5.300,-76.000,34.805,45.000,31.000,4,4,30.400,25.000,42.000,99.600,-100.000,0.000,0.000,1,224.200,0.953,0.000,0.000,0.600,0.800,1.000
6.000,3,core,400.457,6.951,0.001,2.500,-87.000,24.003,47.000,31.000,4,4,50.400,23.000,67.000,99.600,0.000,100.000,0.000,1,217.400,0.953,0.000,0.000,0.600,0.800,1.000
6.000,4,core,335.638,20.069,0.002,2.400,-77.000,45.007,43.000,78.000,4,4,48.000,37.000,57.000,99.600,0.000,-100.000,0.000,1,219.100,0.958,0.000,0.000,0.600,0.800,1.000
6.000,5,distribution,37.698,28.726,0.010,5.000,-69.000,21.603,56.000,74.000,3,3,24.800,25.000,70.000,99.600,150.000,0.000,0.000,1,218.100,0.959,0.000,0.000,0.600,0.800,1.000
6.000,6,distribution,26.480,35.561,0.011,2.600,-73.000,34.205,73.000,45.000,3,3,44.000,21.000,78.000,99.600,137.032,61.010,0.000,1,218.100,0.952,0.000,0.000,0.600,0.800,1.000
6.000,7,distribution,29.069,23.703,0.009,4.700,-83.000,19.803,47.000,57.000,3,3,38.400,19.000,66.000,99.600,100.370,111.472,0.000,1,216.900,0.957,0.000,0.000,0.600,0.800,1.000
6.000,8,distribution,30.113,25.827,0.007,3.900,-67.000,33.005,64.000,24.000,3,3,52.800,15.000,46.000,99.600,46.353,142.658,0.000,1,209.900,0.959,0.000,0.000,0.600,0.800,1.000
6.000,9,distribution,34.384,41.829,0.007,5.000,-70.000,30.004,56.000,71.000,3,3,56.000,32.000,45.000,99.600,-15.679,149.178,0.000,1,226.800,0.951,0.000,0.000,0.600,0.800,1.000
6.000,10,distribution,34.704,36.713,0.008,4.500,-86.000,27.604,57.000,64.000,3,3,48.800,23.000,71.000,99.600,-75.000,129.904,0.000,1,220.600,0.959,0.000,0.000,0.600,0.800,1.000
6.000,11,distribution,20.037,36.252,0.005,4.600,-65.000,40.206,53.000,45.000,3,3,40.000,31.000,45.000,99.600,-121.353,88.168,0.000,1,212.200,0.951,0.000,0.000,0.600,0.800,1.000
6.000,12,distribution,33.642,34.942,0.005,6.400,-88.000,30.004,73.000,71.000,3,3,52.000,37.000,77.000,99.600,-146.722,31.187,0.000,1,222.400,0.953,0.000,0.000,0.600,0.800,1.000
6.000,13,distribution,22.560,20.348,0.008,4.500,-89.000,30.004,45.000,61.000,3,3,50.400,10.000,41.000,99.600,-146.722,-31.187,0.000,1,220.700,0.954,0.000,0.000,0.600,0.800,1.000
6.000,14,distribution,35.050,21.776,0.012,3.500,-86.000,44.406,79.000,43.000,3,3,26.400,18.000,60.000,99.600,-121.353,-88.168,0.000,1,212.600,0.959,0.000,0.000,0.600,0.800,1.000
6.000,15,distribution,32.422,23.295,0.007,4.600,-82.000,28.204,44.000,35.000,3,3,39.200,26.000,44.000,99.600,-75.000,-129.904,0.000,1,221.900,0.951,0.000,0.000,0.600,0.800,1.000
6.000,16,distribution,19.526,29.381,0.014,2.200,-66.000,27.604,71.000,60.000,3,3,27.200,31.000,65.000,99.600,-15.679,-149.178,0.000,1,219.800,0.955,0.000,0.000,0.600,0.800,1.000
6.000,17,distribution,26.483,43.632,0.010,5.200,-75.000,28.204,74.000,25.000,3,3,34.400,28.000,66.000,99.600,46.353,-142.658,0.000,1,226.200,0.952,0.000,0.000,0.600,0.800,1.000
6.000,18,distribution,20.116,38.414,0.014,4.800,-64.000,43.206,49.000,28.000,3,3,36.000,15.000,62.000,99.600,100.370,-111.472,0.000,1,218.200,0.951,0.000,0.000,0.600,0.800,1.000
6.000,19,distribution,20.510,28.922,0.011,3.000,-80.000,22.803,78.000,65.000,3,3,36.800,34.000,59.000,99.600,137.032,-61.010,0.000,1,222.700,0.952,0.000,0.000,0.600,0.800,1.000
6.000,20,access,17.727,36.588,0.022,3.700,-82.000,42.606,66.000,50.000,1,1,38.400,29.000,42.000,99.600,-150.000,-150.000,0.000,1,228.000,0.952,0.000,0.000,0.600,0.800,1.000
6.000,21,access,12.314,41.775,0.018,6.900,-87.000,27.604,44.000,55.000,1,1,58.400,35.000,47.000,99.600,-90.000,-150.000,0.000,1,219.000,0.958,0.000,0.000,0.600,0.800,1.000
6.000,22,access,14.659,43.007,0.025,3.100,-66.000,21.603,52.000,57.000,1,1,37.600,16.000,77.000,99.600,-30.000,-150.000,0.000,1,224.800,0.959,0.000,0.000,0.600,0.800,1.000
6.000,23,access,10.921,38.568,0.022,2.900,-78.000,46.207,55.000,51.000,1,1,27.200,15.000,40.000,99.600,30.000,-150.000,0.000,1,219.800,0.950,0.000,0.000,0.600,0.800,1.000
6.000,24,access,17.372,68.823,0.018,8.700,-83.000,18.603,63.000,30.000,1,1,53.600,31.000,57.000,99.600,90.000,-150.000,0.000,1,226.600,0.957,0.000,0.000,0.600,0.800,1.000
6.000,25,access,9.649,75.679,0.013,7.300,-79.000,39.606,65.000,64.000,1,1,26.400,17.000,60.000,99.600,150.000,-150.000,0.000,1,220.200,0.950,0.000,0.000,0.600,0.800,1.000
6.000,26,access,5.801,51.069,0.014,5.800,-73.000,28.804,59.000,21.000,1,1,32.800,19.000,69.000,99.600,-150.000,-90.000,0.000,1,222.400,0.955,0.000,0.000,0.600,0.800,1.000
6.000,27,access,7.489,54.814,0.012,5.100,-66.000,33.005,77.000,29.000,1,1,26.400,17.000,44.000,99.600,-90.000,-90.000,0.000,1,228.200,0.958,0.000,0.000,0.600,0.800,1.000
6.000,28,access,6.802,48.930,0.021,7.400,-79.000,42.006,65.000,71.000,1,1,24.800,27.000,48.000,99.600,-30.000,-90.000,0.000,1,219.100,0.959,0.000,0.000,0.600,0.800,1.000
