Time,NodeId,NodeType,Throughput_Mbps,Latency_ms,PacketLoss_Rate,Jitter_ms,SignalStrength_dBm,CPU_Usage,Memory_Usage,Buffer_Occupancy,Active_Links,Neighbor_Count,Link_Utilization,Critical_Load,Normal_Load,Energy_Level,X_Position,Y_Position,Z_Position,Operational_Status,Voltage_Level,Power_Stability,Degradation_Level,Fault_Severity
10.000,29,access,35.000,55.000,0.012,8.500,-85.000,51.000,47.000,64.000,1,1,43.000,11.000,74.000,99.667,-43.836,0.684,0.000,1,229.000,0.954,0.000,0.000
10.000,30,access,16.000,29.000,0.014,3.900,-74.000,51.000,42.000,68.000,1,1,58.000,29.000,72.000,99.667,-48.724,-7.165,0.000,1,212.000,0.952,0.000,0.000
10.000,31,access,28.000,53.000,0.028,8.300,-68.000,33.000,53.000,33.000,1,1,78.000,10.000,74.000,99.667,-0.977,72.721,0.000,1,226.000,0.958,0.000,0.000
10.000,32,access,17.000,46.000,0.018,5.600,-78.000,77.000,49.000,30.000,1,1,33.000,23.000,43.000,99.667,40.148,10.730,0.000,1,219.000,0.950,0.000,0.000
10.000,33,access,27.000,53.000,0.022,7.300,-76.000,55.000,68.000,77.000,1,1,59.000,26.000,60.000,99.667,66.170,33.385,0.000,1,216.000,0.955,0.000,0.000
10.000,34,access,24.000,46.000,0.010,6.600,-80.000,78.000,76.000,22.000,1,1,74.000,37.000,59.000,99.667,15.792,-6.187,0.000,1,214.000,0.958,0.000,0.000
10.000,35,access,23.000,49.000,0.012,4.900,-71.000,77.000,58.000,39.000,1,1,31.000,15.000,54.000,99.667,31.896,21.447,0.000,1,218.000,0.953,0.000,0.000
10.000,36,access,29.000,57.000,0.025,9.700,-79.000,44.000,45.000,69.000,1,1,73.000,35.000,57.000,99.667,-14.983,66.764,0.000,1,217.000,0.954,0.000,0.000
10.000,37,access,20.000,48.000,0.021,6.800,-88.000,72.000,75.000,43.000,1,1,74.000,19.000,70.000,99.667,44.102,-74.754,0.000,1,219.000,0.959,0.000,0.000
10.000,38,access,22.000,25.000,0.011,4.500,-71.000,72.000,40.000,77.000,1,1,53.000,21.000,41.000,99.667,37.624,71.157,0.000,1,219.000,0.956,0.000,0.000
10.000,39,access,19.000,30.000,0.015,5.000,-84.000,70.000,66.000,24.000,1,1,37.000,24.000,48.000,99.667,-26.588,72.716,0.000,1,226.000,0.957,0.000,0.000
10.000,40,access,25.000,58.000,0.022,6.800,-66.000,74.000,76.000,52.000,1,1,58.000,29.000,66.000,99.667,71.934,-37.770,0.000,1,216.000,0.950,0.000,0.000
10.000,41,access,20.000,27.000,0.020,3.700,-73.000,37.000,67.000,52.000,1,1,66.000,34.000,75.000,99.667,19.526,64.890,0.000,1,221.000,0.950,0.000,0.000
10.000,42,access,12.000,45.000,0.022,8.500,-69.000,54.000,75.000,61.000,1,1,50.000,13.000,67.000,99.667,-14.497,15.265,0.000,1,229.000,0.950,0.000,0.000
10.000,43,access,38.000,38.000,0.016,4.800,-87.000,36.000,60.000,69.000,1,1,67.000,25.000,59.000,99.667,4.280,5.968,0.000,1,220.000,0.954,0.000,0.000
10.000,44,access,27.000,43.000,0.015,7.300,-83.000,67.000,49.000,63.000,1,1,37.000,28.000,77.000,99.667,-67.892,-63.777,0.000,1,213.000,0.953,0.000,0.000
10.000,45,access,14.000,31.000,0.019,6.100,-88.000,55.000,68.000,74.000,1,1,63.000,17.000,41.000,99.667,16.058,-69.488,0.000,1,210.000,0.959,0.000,0.000
10.000,46,access,13.000,48.000,0.020,8.800,-89.000,43.000,62.000,54.000,1,1,53.000,17.000,71.000,99.667,33.596,60.510,0.000,1,229.000,0.957,0.000,0.000
10.000,47,access,32.000,52.000,0.020,7.200,-75.000,51.000,77.000,54.000,1,1,71.000,17.000,71.000,99.667,-12.622,-12.602,0.000,1,222.000,0.951,0.000,0.000
10.000,48,access,31.000,56.000,0.027,5.600,-68.000,55.000,41.000,36.000,1,1,46.000,32.000,71.000,99.667,46.948,49.533,0.000,1,210.000,0.954,0.000,0.000
10.000,49,access,19.000,56.000,0.014,8.600,-81.000,50.000,62.000,72.000,1,1,59.000,37.000,45.000,99.667,44.929,-10.507,0.000,1,228.000,0.950,0.000,0.000
20.000,0,core,836.000,9.000,0.002,4.900,-87.000,74.000,59.000,71.000,4,4,57.000,20.000,76.000,99.333,0.000,0.000,0.000,1,213.000,0.957,0.000,0.000
20.000,1,core,860.000,13.000,0.002,5.300,-81.000,35.000,54.000,51.000,4,4,55.000,15.000,54.000,99.333,50.000,0.000,0.000,1,213.000,0.959,0.000,0.000
20.000,2,core,889.000,13.000,0.001,3.300,-62.000,62.000,77.000,70.000,4,4,73.000,24.000,46.000,99.333,-50.000,0.000,0.000,1,228.000,0.955,0.000,0.000
20.000,3,core,893.000,11.000,0.001,5.100,-63.000,59.000,57.000,62.000,4,4,55.000,18.000,79.000,99.333,0.000,50.000,0.000,1,213.000,0.954,0.000,0.000
20.000,4,core,810.000,7.000,0.001,0.700,-67.000,71.000,73.000,43.000,4,4,53.000,18.000,45.000,99.333,0.000,-50.000,0.000,1,227.000,0.956,0.000,0.000
20.000,5,distribution,51.000,25.000,0.013,5.500,-65.000,70.000,58.000,50.000,3,3,34.000,21.000,61.000,99.333,25.000,0.000,0.000,1,227.000,0.956,0.000,0.000
20.000,6,distribution,73.000,20.000,0.014,3.000,-65.000,30.000,68.000,43.000,3,3,65.000,36.000,75.000,99.333,22.839,10.168,0.000,1,223.000,0.954,0.000,0.000
20.000,7,distribution,79.000,24.000,0.005,5.400,-87.000,76.000,61.000,45.000,3,3,40.000,36.000,75.000,99.333,16.728,18.579,0.000,1,217.000,0.956,0.000,0.000
20.000,8,distribution,50.000,33.000,0.006,4.300,-79.000,51.000,70.000,64.000,3,3,52.000,27.000,74.000,99.333,7.725,23.776,0.000,1,212.000,0.952,0.000,0.000
20.000,9,distribution,40.000,18.000,0.007,4.800,-77.000,30.000,70.000,33.000,3,3,44.000,29.000,42.000,99.333,-2.613,24.863,0.000,1,228.000,0.950,0.000,0.000
20.000,10,distribution,47.000,19.000,0.007,5.900,-64.000,73.000,58.000,26.000,3,3,70.000,38.000,79.000,99.333,-12.500,21.651,0.000,1,225.000,0.952,0.000,0.000
20.000,11,distribution,62.000,17.000,0.008,4.700,-74.000,52.000,42.000,74.000,3,3,65.000,31.000,57.000,99.333,-20.225,14.695,0.000,1,211.000,0.958,0.000,0.000
20.000,12,distribution,45.000,22.000,0.006,5.200,-71.000,33.000,53.000,73.000,3,3,37.000,19.000,48.000,99.333,-24.454,5.198,0.000,1,226.000,0.959,0.000,0.000
20.000,13,distribution,46.000,32.000,0.005,7.200,-88.000,71.000,56.000,38.000,3,3,45.000,22.000,51.000,99.333,-24.454,-5.198,0.000,1,214.000,0.958,0.000,0.000
20.000,14,distribution,69.000,34.000,0.011,7.400,-79.000,69.000,40.000,78.000,3,3,39.000,13.000,41.000,99.333,-20.225,-14.695,0.000,1,220.000,0.956,0.000,0.000
20.000,15,distribution,74.000,33.000,0.014,5.300,-73.000,67.000,71.000,52.000,3,3,52.000,11.000,75.000,99.333,-12.500,-21.651,0.000,1,216.000,0.957,0.000,0.000
20.000,16,distribution,50.000,34.000,0.005,4.400,-63.000,37.000,54.000,61.000,3,3,61.000,13.000,40.000,99.333,-2.613,-24.863,0.000,1,224.000,0.950,0.000,0.000
20.000,17,distribution,73.000,17.000,0.006,2.700,-75.000,34.000,42.000,72.000,3,3,31.000,37.000,72.000,99.333,7.725,-23.776,0.000,1,217.000,0.955,0.000,0.000
20.000,18,distribution,54.000,16.000,0.011,4.600,-75.000,79.000,42.000,57.000,3,3,63.000,26.000,74.000,99.333,16.728,-18.579,0.000,1,225.000,0.957,0.000,0.000
20.000,19,distribution,57.000,24.000,0.012,3.400,-66.000,43.000,60.000,62.000,3,3,41.000,35.000,46.000,99.333,22.839,-10.168,0.000,1,222.000,0.952,0.000,0.000
20.000,20,access,15.000,25.000,0.020,3.500,-76.000,50.000,52.000,65.000,1,1,58.000,29.000,45.000,99.333,-0.043,-34.365,0.000,1,213.000,0.954,0.000,0.000
20.000,21,access,10.000,36.000,0.010,5.600,-88.000,62.000,61.000,50.000,1,1,35.000,38.000,65.000,99.333,69.939,27.469,0.000,1,228.000,0.953,0.000,0.000
20.000,22,access,15.000,35.000,0.027,5.500,-63.000,30.000,57.000,77.000,1,1,57.000,16.000,69.000,99.333,48.003,-12.872,0.000,1,223.000,0.958,0.000,0.000
20.000,23,access,11.000,26.000,0.019,6.600,-68.000,68.000,50.000,73.000,1,1,57.000,10.000,56.000,99.333,50.284,36.859,0.000,1,220.000,0.958,0.000,0.000
20.000,24,access,29.000,37.000,0.021,7.700,-87.000,46.000,72.000,57.000,1,1,71.000,35.000,48.000,99.333,-32.558,73.391,0.000,1,217.000,0.957,0.000,0.000
20.000,25,access,18.000,29.000,0.025,3.900,-88.000,34.000,48.000,28.000,1,1,73.000,38.000,77.000,99.333,-16.745,-59.145,0.000,1,226.000,0.955,0.000,0.000
20.000,26,access,35.000,52.000,0.024,5.200,-77.000,63.000,52.000,27.000,1,1,62.000,21.000,53.000,99.333,-65.730,16.011,0.000,1,215.000,0.950,0.000,0.000
20.000,27,access,14.000,39.000,0.024,3.900,-87.000,34.000,41.000,22.000,1,1,52.000,11.000,76.000,99.333,-37.397,56.216,0.000,1,211.000,0.959,0.000,0.000
20.000,28,access,22.000,50.000,0.012,7.000,-84.000,53.000,55.000,26.000,1,1,31.000,34.000,70.000,99.333,1.242,42.877,0.000,1,212.000,0.959,0.000,0.000
20.000,29,access,23.000,46.000,0.022,8.600,-88.000,51.000,40.000,47.000,1,1,36.000,20.000,61.000,99.333,-43.836,0.684,0.000,1,227.000,0.957,0.000,0.000
20.000,30,access,10.000,32.000,0.015,5.200,-71.000,63.000,71.000,52.000,1,1,30.000,36.000,78.000,99.333,-48.724,-7.165,0.000,1,221.000,0.959,0.000,0.000
20.000,31,access,37.000,39.000,0.019,7.900,-75.000,59.000,61.000,52.000,1,1,68.000,39.000,76.000,99.333,-0.977,72.721,0.000,1,222.000,0.954,0.000,0.000
20.000,32,access,30.000,56.000,0.014,9.600,-65.000,44.000,46.000,46.000,1,1,63.000,19.000,49.000,99.333,40.148,10.730,0.000,1,210.000,0.959,0.000,0.000
20.000,33,access,35.000,52.000,0.011,9.200,-89.000,61.000,73.000,64.000,1,1,65.000,38.000,55.000,99.333,66.170,33.385,0.000,1,223.000,0.950,0.000,0.000
20.000,34,access,27.000,43.000,0.023,4.300,-65.000,73.000,68.000,76.000,1,1,40.000,13.000,63.000,99.333,15.792,-6.187,0.000,1,228.000,0.959,0.000,0.000
20.000,35,access,26.000,56.000,0.028,5.600,-81.000,41.000,70.000,63.000,1,1,30.000,30.000,74.000,99.333,31.896,21.447,0.000,1,227.000,0.950,0.000,0.000
20.000,36,access,25.000,29.000,0.012,6.900,-89.000,74.000,69.000,58.000,1,1,31.000,16.000,63.000,99.333,-14.983,66.764,0.000,1,214.000,0.959,0.000,0.000
20.000,37,access,39.000,28.000,0.013,3.800,-75.000,46.000,51.000,67.000,1,1,42.000,12.000,49.000,99.333,44.102,-74.754,0.000,1,214.000,0.956,0.000,0.000
20.000,38,access,22.000,58.000,0.021,7.800,-88.000,46.000,63.000,37.000,1,1,67.000,32.000,53.000,99.333,37.624,71.157,0.000,1,212.000,0.954,0.000,0.000
20.000,39,access,27.000,27.000,0.015,3.700,-78.000,71.000,73.000,46.000,1,1,54.000,10.000,73.000,99.333,-26.588,72.716,0.000,1,223.000,0.957,0.000,0.000
20.000,40,access,35.000,43.000,0.015,8.300,-88.000,40.000,42.000,24.000,1,1,49.000,10.000,41.000,99.333,71.934,-37.770,0.000,1,220.000,0.959,0.000,0.000
20.000,41,access,22.000,45.000,0.010,8.500,-70.000,38.000,43.000,58.000,1,1,37.000,33.000,71.000,99.333,19.526,64.890,0.000,1,216.000,0.953,0.000,0.000
20.000,42,access,10.000,55.000,0.015,6.500,-78.000,50.000,61.000,47.000,1,1,59.000,21.000,60.000,99.333,-14.497,15.265,0.000,1,220.000,0.953,0.000,0.000
20.000,43,access,13.000,25.000,0.029,6.500,-66.000,49.000,72.000,49.000,1,1,40.000,33.000,70.000,99.333,4.280,5.968,0.000,1,214.000,0.958,0.000,0.000
20.000,44,access,33.000,58.000,0.017,9.800,-89.000,31.000,59.000,64.000,1,1,72.000,20.000,46.000,99.333,-67.892,-63.777,0.000,1,229.000,0.954,0.000,0.000
20.000,45,access,35.000,59.000,0.025,6.900,-74.000,63.000,67.000,22.000,1,1,67.000,33.000,43.000,99.333,16.058,-69.488,0.000,1,216.000,0.951,0.000,0.000
20.000,46,access,19.000,42.000,0.024,8.200,-69.000,43.000,58.000,73.000,1,1,42.000,29.000,65.000,99.333,33.596,60.510,0.000,1,214.000,0.954,0.000,0.000
20.000,47,access,14.000,53.000,0.029,5.300,-65.000,67.000,53.000,69.000,1,1,30.000,27.000,42.000,99.333,-12.622,-12.602,0.000,1,224.000,0.959,0.000,0.000
20.000,48,access,17.000,32.000,0.019,3.200,-74.000,41.000,77.000,49.000,1,1,33.000,26.000,52.000,99.333,46.948,49.533,0.000,1,220.000,0.955,0.000,0.000
20.000,49,access,21.000,42.000,0.015,5.200,-78.000,58.000,47.000,20.000,1,1,75.000,12.000,67.000,99.333,44.929,-10.507,0.000,1,213.000,0.959,0.000,0.000
30.000,0,core,799.000,6.000,0.002,1.600,-68.000,74.000,76.000,26.000,4,4,37.000,12.000,57.000,99.000,0.000,0.000,0.000,1,216.000,0.953,0.000,0.000
30.000,1,core,764.000,6.000,0.001,4.600,-84.000,53.000,77.000,73.000,4,4,64.000,37.000,72.000,99.000,50.000,0.000,0.000,1,210.000,0.956,0.000,0.000
30.000,2,core,831.000,12.000,0.002,4.200,-79.000,75.000,75.000,22.000,4,4,51.000,15.000,49.000,99.000,-50.000,0.000,0.000,1,215.000,0.956,0.000,0.000
30.000,3,core,859.000,6.000,0.002,0.600,-85.000,73.000,52.000,51.000,4,4,69.000,37.000,46.000,99.000,0.000,50.000,0.000,1,222.000,0.951,0.000,0.000
30.000,4,core,778.000,7.000,0.001,3.700,-73.000,66.000,59.000,30.000,4,4,74.000,38.000,75.000,99.000,0.000,-50.000,0.000,1,226.000,0.954,0.000,0.000
30.000,5,distribution,61.000,17.000,0.014,4.700,-80.000,69.000,42.000,73.000,3,3,61.000,28.000,57.000,99.000,25.000,0.000,0.000,1,227.000,0.953,0.000,0.000
30.000,6,distribution,44.000,26.000,0.011,2.600,-65.000,70.000,61.000,32.000,3,3,56.000,24.000,78.000,99.000,22.839,10.168,0.000,1,213.000,0.958,0.000,0.000
30.000,7,distribution,45.000,31.000,0.007,4.100,-89.000,41.000,43.000,23.000,3,3,41.000,15.000,62.000,99.000,16.728,18.579,0.000,1,215.000,0.952,0.000,0.000
30.000,8,distribution,56.000,34.000,0.009,3.400,-67.000,74.000,53.000,77.000,3,3,49.000,30.000,50.000,99.000,7.725,23.776,0.000,1,214.000,0.956,0.000,0.000
30.000,9,distribution,52.000,27.000,0.011,5.700,-65.000,75.000,78.000,67.000,3,3,71.000,37.000,50.000,99.000,-2.613,24.863,0.000,1,229.000,0.950,0.000,0.000
30.000,10,distribution,56.000,15.000,0.009,1.500,-62.000,39.000,56.000,60.000,3,3,69.000,13.000,55.000,99.000,-12.500,21.651,0.000,1,211.000,0.953,0.000,0.000
30.000,11,distribution,64.000,28.000,0.011,3.800,-89.000,31.000,50.000,39.000,3,3,34.000,35.000,66.000,99.000,-20.225,14.695,0.000,1,214.000,0.953,0.000,0.000
30.000,12,distribution,62.000,20.000,0.014,4.000,-74.000,61.000,41.000,59.000,3,3,61.000,23.000,48.000,99.000,-24.454,5.198,0.000,1,221.000,0.957,0.000,0.000
30.000,13,distribution,67.000,29.000,0.014,5.900,-68.000,67.000,79.000,23.000,3,3,68.000,18.000,74.000,99.000,-24.454,-5.198,0.000,1,213.000,0.951,0.000,0.000
30.000,14,distribution,40.000,15.000,0.013,3.500,-63.000,78.000,55.000,70.000,3,3,35.000,29.000,62.000,99.000,-20.225,-14.695,0.000,1,216.000,0.958,0.000,0.000
30.000,15,distribution,66.000,33.000,0.010,6.300,-66.000,77.000,68.000,27.000,3,3,52.000,16.000,46.000,99.000,-12.500,-21.651,0.000,1,222.000,0.958,0.000,0.000
30.000,16,distribution,72.000,34.000,0.012,5.400,-62.000,33.000,75.000,31.000,3,3,37.000,38.000,49.000,99.000,-2.613,-24.863,0.000,1,210.000,0.953,0.000,0.000
30.000,17,distribution,74.000,16.000,0.011,1.600,-74.000,58.000,77.000,63.000,3,3,63.000,35.000,40.000,99.000,7.725,-23.776,0.000,1,224.000,0.953,0.000,0.000
30.000,18,distribution,61.000,29.000,0.010,4.900,-88.000,59.000,69.000,73.000,3,3,59.000,34.000,76.000,99.000,16.728,-18.579,0.000,1,227.000,0.950,0.000,0.000
30.000,19,distribution,74.000,20.000,0.010,2.000,-76.000,72.000,56.000,69.000,3,3,49.000,22.000,49.000,99.000,22.839,-10.168,0.000,1,215.000,0.956,0.000,0.000
30.000,20,access,26.000,35.000,0.025,4.500,-87.000,43.000,66.000,60.000,1,1,42.000,26.000,69.000,99.000,-0.043,-34.365,0.000,1,223.000,0.958,0.000,0.000
30.000,21,access,13.000,35.000,0.018,3.500,-62.000,74.000,60.000,40.000,1,1,56.000,28.000,45.000,99.000,69.939,27.469,0.000,1,227.000,0.956,0.000,0.000
30.000,22,access,24.000,44.000,0.024,7.400,-82.000,33.000,46.000,62.000,1,1,62.000,34.000,47.000,99.000,48.003,-12.872,0.000,1,216.000,0.958,0.000,0.000
30.000,23,access,10.000,34.000,0.019,7.400,-86.000,54.000,62.000,65.000,1,1,31.000,16.000,41.000,99.000,50.284,36.859,0.000,1,226.000,0.955,0.000,0.000
30.000,24,access,13.000,47.000,0.017,5.700,-80.000,68.000,79.000,60.000,1,1,71.000,23.000,44.000,99.000,-32.558,73.391,0.000,1,211.000,0.952,0.000,0.000
30.000,25,access,28.000,50.000,0.018,5.000,-76.000,43.000,66.000,71.000,1,1,30.000,35.000,47.000,99.000,-16.745,-59.145,0.000,1,212.000,0.952,0.000,0.000
30.000,26,access,34.000,37.000,0.020,6.700,-79.000,60.000,54.000,53.000,1,1,43.000,34.000,62.000,99.000,-65.730,16.011,0.000,1,220.000,0.953,0.000,0.000
30.000,27,access,14.000,55.000,0.013,6.500,-73.000,41.000,65.000,28.000,1,1,61.000,33.000,43.000,99.000,-37.397,56.216,0.000,1,228.000,0.951,0.000,0.000
30.000,28,access,39.000,37.000,0.025,7.700,-86.000,37.000,72.000,51.000,1,1,70.000,11.000,63.000,99.000,1.242,42.877,0.000,1,224.000,0.954,0.000,0.000
30.000,29,access,17.000,27.000,0.026,3.700,-80.000,44.000,51.000,31.000,1,1,48.000,16.000,54.000,99.000,-43.836,0.684,0.000,1,223.000,0.959,0.000,0.000
30.000,30,access,13.000,44.000,0.017,6.400,-64.000,65.000,73.000,70.000,1,1,37.000,22.000,69.000,99.000,-48.724,-7.165,0.000,1,227.000,0.950,0.000,0.000
30.000,31,access,19.000,38.000,0.020,7.800,-89.000,65.000,62.000,40.000,1,1,48.000,13.000,55.000,99.000,-0.977,72.721,0.000,1,222.000,0.957,0.000,0.000
30.000,32,access,19.000,41.000,0.015,4.100,-82.000,50.000,77.000,24.000,1,1,67.000,13.000,60.000,99.000,40.148,10.730,0.000,1,226.000,0.953,0.000,0.000
30.000,33,access,31.000,51.000,0.027,8.100,-68.000,49.000,50.000,67.000,1,1,78.000,30.000,43.000,99.000,66.170,33.385,0.000,1,215.000,0.957,0.000,0.000
30.000,34,access,11.000,40.000,0.013,7.000,-62.000,72.000,71.000,35.000,1,1,33.000,33.000,48.000,99.000,15.792,-6.187,0.000,1,226.000,0.957,0.000,0.000
30.000,35,access,12.000,38.000,0.025,6.800,-66.000,39.000,53.000,43.000,1,1,67.000,14.000,73.000,99.000,31.896,21.447,0.000,1,228.000,0.950,0.000,0.000
30.000,36,access,37.000,51.000,0.013,9.100,-72.000,60.000,52.000,69.000,1,1,35.000,27.000,54.000,99.000,-14.983,66.764,0.000,1,219.000,0.956,0.000,0.000
30.000,37,access,36.000,44.000,0.029,7.400,-61.000,68.000,51.000,53.000,1,1,38.000,29.000,62.000,99.000,44.102,-74.754,0.000,1,211.000,0.952,0.000,0.000
30.000,38,access,24.000,45.000,0.011,5.500,-83.000,33.000,40.000,40.000,1,1,30.000,12.000,72.000,99.000,37.624,71.157,0.000,1,220.000,0.950,0.000,0.000
30.000,39,access,22.000,54.000,0.017,5.400,-84.000,47.000,78.000,36.000,1,1,70.000,20.000,66.000,99.000,-26.588,72.716,0.000,1,229.000,0.958,0.000,0.000
30.000,40,access,34.000,28.000,0.027,3.800,-70.000,39.000,63.000,20.000,1,1,62.000,26.000,44.000,99.000,71.934,-37.770,0.000,1,215.000,0.958,0.000,0.000
30.000,41,access,23.000,53.000,0.026,8.300,-81.000,49.000,48.000,21.000,1,1,76.000,14.000,58.000,99.000,19.526,64.890,0.000,1,217.000,0.950,0.000,0.000
30.000,42,access,15.000,25.000,0.011,4.500,-80.000,56.000,52.000,38.000,1,1,79.000,25.000,40.000,99.000,-14.497,15.265,0.000,1,215.000,0.959,0.000,0.000
30.000,43,access,32.000,42.000,0.022,6.200,-67.000,49.000,57.000,69.000,1,1,68.000,28.000,59.000,99.000,4.280,5.968,0.000,1,218.000,0.951,0.000,0.000
30.000,44,access,38.000,35.000,0.015,5.500,-74.000,63.000,67.000,43.000,1,1,30.000,20.000,61.000,99.000,-67.892,-63.777,0.000,1,222.000,0.950,0.000,0.000
30.000,45,access,35.000,33.000,0.010,7.300,-77.000,55.000,63.000,61.000,1,1,74.000,32.000,70.000,99.000,16.058,-69.488,0.000,1,220.000,0.950,0.000,0.000
30.000,46,access,31.000,28.000,0.010,5.800,-82.000,72.000,50.000,42.000,1,1,64.000,15.000,68.000,99.000,33.596,60.510,0.000,1,210.000,0.954,0.000,0.000
